Data,Descrição,Numero p/,Qnt. p/ pagas,Valor p/ mes,Valor,Fornecedor,Documento,N. Doc.,Nome/arquivo,OBS,Situação
2022-10-19 00:00:00,Revestimento cerâmico,6,3,2560.27,15361.619999999999,Sodimac,NF,1914066230,,faturado,parcelado 6x cartão
2022-11-07 00:00:00,Instalações Elétricas,6,2,2333.33,13999.98,Santil,NF,,,faturado,parcelado 10x cartão
2022-11-21 00:00:00,Louças e metais,10,2,122.47,1224.7,Leroy Merlin,NF,E161B510B6JEE,,faturado,parcelado 10x cartão
2022-11-21 00:00:00,Louças e metais,10,2,401.68,4016.8,Leroy Merlin,NF,E161B4JH849E2,,faturado,parcelado 10x cartão
2022-11-21 00:00:00,Louças e metais,10,2,185.63,1856.3,Roca Brasil,NF,834512,,faturado,parcelado 10x cartão
2022-11-21 00:00:00,Louças e metais,10,2,185.63,1856.3,Roca Brasil,NF,834513,,faturado,parcelado 10x cartão
2022-11-21 00:00:00,Louças e metais,10,2,97.9,979,Roca Brasil,NF,834514,,faturado,parcelado 10x cartão
2022-11-21 00:00:00,"Portas, batentes e Forro",6,3,5742.61,34455.659999999996,Promade,NF,214117-1,,faturado,parcelado 6x cartão
2022-11-23 00:00:00,Louças e metais,11,2,194.58,2140.38,Tramontina,NF,410552,,faturado,parcelado 10x cartão
2022-11-30 00:00:00,Louças e metais,8,2,762.42,6099.36,Leroy Merlin,NF,E161G26C33927,,faturado,parcelado 8x cartão
2022-12-03 00:00:00,Guarda corpo e corrimões,5,2,2484,12420,Lobatus,NF,807,,faturado,parcelado 10x cartão
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
