1,Despesas Gerais,,-0.007536231884057971,,,,,,,,,,,,,,,,,,,,,,
2,Canteiro de Obra,,-0.010869565217391304,,,,,,,,,,,,,,,,,,,,,,
3,Fundação,,-0.021739130434782608,,,,,,,,,,,,,,,,,,,,,,
4,Terraplenagem,,-0.03768115942028986,,,,,,,,,,,,,,,,,,,,,,
5,Despesas Gerais,,-0.2536231884057971,,,,,,,,,,,,,,,,,,,,,,
6,Alvenaria,,-0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,
7,Estrutura Metálica Cobert.,,-0.010869565217391304,,,,,,,,,,,,,,,,,,,,,,
8,Impermeabilização,,-0.02289855072463768,,,,,,,,,,,,,,,,,,,,,,
9,Elevador,,0,,,,,,,,,,,,,,,,,,,,,,
10,Esquadrias de Aluminio,,-0.0927536231884058,,,,,,,,,,,,,,,,,,,,,,
11,Revestimento Interno,,-0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,
12,Revestimento Externo,,-0.018115942028985508,,,,,,,,,,,,,,,,,,,,,,
13,Marmores e Granitos,,-0.036231884057971016,,,,,,,,,,,,,,,,,,,,,,
14,Instalaões Hidraulicas,,-0.03260869565217391,,,,,,,,,,,,,,,,,,,,,,
15,Instalações Elétricas,,-0.030434782608695653,,,,,,,,,,,,,,,,,,,,,,
16,Automações,,-0.014492753623188406,,,,,,,,,,,,,,,,,,,,,,
17,Louças e metais,,-0.028985507246376812,,,,,,,,,,,,,,,,,,,,,,
18,Revestimento cerâmico,,-0.028985507246376812,,,,,,,,,,,,,,,,,,,,,,
19,Ar Condicionado,,-0.013043478260869565,,,,,,,,,,,,,,,,,,,,,,
20,"Gesso - forro, sancas, etc",,-0.017391304347826087,,,,,,,,,,,,,,,,,,,,,,
21,Guarda corpo e corrimões,,-0.02681159420289855,,,,,,,,,,,,,,,,,,,,,,
22,Iluminação,,-0.005797101449275362,,,,,,,,,,,,,,,,,,,,,,
23,Portas e batentes,,-0.028985507246376812,,,,,,,,,,,,,,,,,,,,,,
24,Ferragens da portas,,-0.014492753623188406,,,,,,,,,,,,,,,,,,,,,,
25,Pintura e textura,,-0.057971014492753624,,,,,,,,,,,,,,,,,,,,,,
26,Locação de equipamentos,,-0.012898550724637681,,,,,,,,,,,,,,,,,,,,,,
27,Caçambas e limpesa,,-0.013043478260869565,,,,,,,,,,,,,,,,,,,,,,
28,"Muros, muretas e piso",,-0.04449275362318841,,,,,,,,,,,,,,,,,,,,,,
29,Materiais Diversos,,-0.007246376811594203,,,,,,,,,,,,,,,,,,,,,,
30,Paisagismo,,-0.010869565217391304,,,,,,,,,,,,,,,,,,,,,,
31,Demolições,,-0.004927536231884058,,,,,,,,,,,,,,,,,,,,,,
32,Limpesa final de obra,,-0.007246376811594203,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
